ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Minimum Quantity","Maximum Quantity",Marcas
10146,simple,,,GLUK0,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,322,495,PCO,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2025/01/gluk0.png,,,,,,,,,0,,,
334,simple,,,"Menos DLOR",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,322,495,"Clasificación Menos",,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2022/10/MenosDlor.png,,,,,,,,,0,,,
335,simple,,,"Menos GRAZ",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,322,495,"Clasificación Menos",,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2022/10/MenosGraz.png,,,,,,,,,0,,,
336,simple,,,"Menos GASTRIT",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,227,349,"Clasificación Menos",,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2022/10/MenosGastrit.png,,,,,,,,,0,,,
12,simple,,,"VITA Colágeno",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,394,525,"Linea Vita",,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2022/10/VitaColageno.png,,,,,,,,,0,,,
14,simple,,,"VITA RelajanTé",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,299,399,"Linea Vita",,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2022/10/VitaRelajante.png,,,,,,,,,0,,,
8838,simple,,,Vitacitrato,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,298,385,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/02/Citrato-de-magnesio.png,,,,,,,,,0,,,
7173,simple,,,"Vita Ajonegro",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,293,390,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2023/07/Vita-Ajo-negro.png,,,,,,,,,0,,,
9363,simple,,,"Vita Café Termogénico Negro sobre",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,299,399,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/05/Cafe-Termogenico-bolsa.png,,,,,,,,,0,,,
7175,simple,,,"Vita Café Termogenico bote",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,382,509,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2023/07/VitaCafe.png,,,,,,,,,0,,,
7187,simple,,,"Vita Multiv",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,270,360,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2023/07/VitaMulti.png,,,,,,,,,0,,,
7185,simple,,,"Vita Jugo verde",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,270,360,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2023/07/VitaJugoVerde.png,,,,,,,,,0,,,
7189,simple,,,"Vita Colágeno Gold",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,596,795,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2023/07/VitaColageno-GOLD.png,,,,,,,,,0,,,
7177,simple,,,"Vita Calcio",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,218,290,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2023/07/VitaCalcio.png,,,,,,,,,0,,,
9790,simple,,,"Vita Glutatión",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,487,649,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/10/galutation.png,,,,,,,,,0,,,
9787,simple,,,"Vita L-CARNITINA",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,345,460,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/10/l-carnitina.png,,,,,,,,,0,,,
9785,simple,,,"Vita Activ-ON",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,495,495,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/10/activ-on.png,,,,,,,,,0,,,
9786,simple,,,"Vita Circulatión",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,420,420,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/10/circulation.png,,,,,,,,,0,,,
9788,simple,,,"Vita OMEGA 3",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,315,420,Vita,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/10/omega-3.png,,,,,,,,,0,,,
7183,simple,,,"Derma Relax",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,180,229,Derma,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2023/07/VitaDermaRelax.png,,,,,,,,,0,,,
8270,simple,,,"Derma Árnica",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,146,195,Derma,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2023/10/Arnica.png,,,,,,,,,0,,,
9789,simple,,,"Dtox DIG-ON",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,246,328,Dtox,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/10/DIG-ON.png,,,,,,,,,0,,,
9791,simple,,,"Dtox RI-ON",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,296,395,Dtox,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2024/10/ri-on.png,,,,,,,,,0,,,
10059,simple,,,"Dtox HIG-ON",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,296,395,Dtox,,,https://distribuidores.vitamindorgan.com/wp-content/uploads/2025/01/hig-on-1.png,,,,,,,,,0,,,
